time,PROTON_BULK_SPEED_km/s,PROTON_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VP_km/s,P+_WPERP_NONLIN_km/s,P+_WPERP_NONLIN_km/s.1,SIGMA_P+_WPERP_NONLIN_km/s,P+_WPAR_NONLIN_km/s,P+_WPAR_NONLIN_km/s.1,SIGMA_P+_WPAR_NONLIN_km/s,P+_DENSITY_cm^{-3},P+_DENSITY_cm^{-3}.1,SIGMA_P+_DENSITY_cm^{-3},ALPHA_BULK_SPEED_km/s,ALPHA_BULK_SPEED_km/s.1,UNCERTAINTY_IN_VA_km/s,HE++_WPERP_NONLIN_km/s,HE++_WPERP_NONLIN_km/s.1,SIGMA_HE++_WPERP_NONLIN_km/s,HE++_WPAR_NONLIN_km/s,HE++_WPAR_NONLIN_km/s.1,SIGMA_HE++_WPAR_NONLIN_km/s,HE++_DENSITY_NONLIN_cm^{-3},HE++_DENSITY_NONLIN_cm^{-3}.1
1600732878.0,319.521,319.521,8.2562,30.4545,30.4545,1.34148,25.9645,25.9645,2.41194,14.7587,14.7587,0.352064,317.347,317.347,37.1368,28.9301,28.9301,7.93168,25.0095,25.0095,13.618,0.324467,0.324467
1600732978.0,320.606,320.606,6.90356,28.299,28.299,1.06056,23.6317,23.6317,2.03668,12.993,12.993,0.218723,316.364,316.364,39.4271,28.762,28.762,7.41245,20.9675,20.9675,12.2866,0.322957,0.322957
1600733078.0,319.826,319.826,7.33973,29.3699,29.3699,1.09102,22.2334,22.2334,2.27912,12.2014,12.2014,0.191875,314.583,314.583,34.9631,29.161,29.161,6.16807,16.6875,16.6875,10.5242,0.381692,0.381692
1600733178.0,320.687,320.687,7.16344,29.7267,29.7267,1.0,21.7476,21.7476,2.56897,13.4931,13.4931,0.229656,319.055,319.055,31.7332,26.1285,26.1285,4.68172,17.1768,17.1768,10.9175,0.369199,0.369199
1600733278.0,320.529,320.529,7.21544,29.7653,29.7653,1.01417,20.8939,20.8939,2.37721,13.2316,13.2316,0.221555,318.229,318.229,34.5661,27.7339,27.7339,5.60697,20.6362,20.6362,12.6465,0.370006,0.370006
1600733378.0,321.026,321.026,7.25698,29.6942,29.6942,1.01931,20.5704,20.5704,2.40588,12.8809,12.8809,0.211309,318.614,318.614,34.4577,27.8844,27.8844,5.51144,16.9156,16.9156,11.1047,0.367964,0.367964
1600733478.0,322.92,322.92,7.42562,29.6726,29.6726,1.03044,21.9141,21.9141,2.573,12.3772,12.3772,0.195855,319.502,319.502,36.6883,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.325624,0.325624
1600733578.0,322.235,322.235,7.67891,30.6643,30.6643,1.0455,22.7079,22.7079,3.35225,13.2655,13.2655,0.218861,315.475,315.475,48.5819,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.428077,0.428077
1600733678.0,320.918,320.918,7.60835,31.0417,31.0417,1.19413,24.0265,24.0265,2.61929,12.621,12.621,0.200196,313.24,313.24,39.646,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.309188,0.309188
1600733778.0,318.234,318.234,8.32397,31.5846,31.5846,1.51951,23.4688,23.4688,1.65221,13.9535,13.9535,0.31859,314.003,314.003,36.6171,29.8738,29.8738,8.51023,21.5308,21.5308,8.54182,0.321596,0.321596
1600733878.0,320.077,320.077,7.46504,32.0199,32.0199,1.19955,25.139,25.139,2.43465,14.9624,14.9624,0.27016,314.916,314.916,40.6669,32.8081,32.8081,8.30628,20.2727,20.2727,13.4736,0.404722,0.404722
1600733978.0,317.426,317.426,7.43748,32.7014,32.7014,1.23638,23.1171,23.1171,2.36375,14.6169,14.6169,0.247036,314.244,314.244,43.0261,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.396137,0.396137
1600734078.0,318.652,318.652,7.34453,31.7991,31.7991,1.0945,21.8266,21.8266,2.70007,15.1985,15.1985,0.279988,315.772,315.772,47.7373,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.357639,0.357639
1600734178.0,317.663,317.663,6.66456,28.7695,28.7695,1.0,21.0247,21.0247,2.15723,14.3685,14.3685,0.249499,315.641,315.641,40.9146,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.259148,0.259148
1600734278.0,317.184,317.184,6.62643,28.0702,28.0702,1.0,19.8906,19.8906,2.06665,13.6141,13.6141,0.227777,313.419,313.419,42.8351,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.257257,0.257257
1600734378.0,316.844,316.844,6.72244,28.5716,28.5716,1.0,20.8262,20.8262,2.86279,14.5033,14.5033,0.252548,312.259,312.259,44.291,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.299077,0.299077
1600734478.0,315.512,315.512,6.74615,28.7685,28.7685,1.0,20.8529,20.8529,3.48669,14.7533,14.7533,0.258563,314.454,314.454,40.1626,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.257209,0.257209
1600734578.0,316.558,316.558,6.80173,28.1524,28.1524,1.0,20.4742,20.4742,3.58278,13.6165,13.6165,0.224824,314.107,314.107,43.7509,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.257584,0.257584
1600734678.0,317.097,317.097,7.87087,28.1182,28.1182,1.0,21.336,21.336,3.23172,13.9637,13.9637,0.310961,313.804,313.804,40.5781,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.272855,0.272855
1600734778.0,320.583,320.583,6.44317,25.9471,25.9471,1.0,20.1297,20.1297,3.32117,13.6167,13.6167,0.243365,318.654,318.654,40.3646,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.204076,0.204076
1600734878.0,318.69,318.69,6.43554,26.212,26.212,1.0,20.8799,20.8799,2.76439,13.6183,13.6183,0.231219,316.898,316.898,41.9664,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.190212,0.190212
1600734975.0,317.879,317.879,6.44843,26.5292,26.5292,1.0,20.7801,20.7801,3.07566,13.748,13.748,0.233859,315.944,315.944,41.3668,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.223226,0.223226
1600735075.0,317.017,317.017,7.02826,26.3075,26.3075,1.0,19.4381,19.4381,3.35404,13.9599,13.9599,0.252503,315.914,315.914,49.8777,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.203249,0.203249
1600735175.0,317.494,317.494,6.51284,26.4043,26.4043,1.0,19.8159,19.8159,3.85111,13.4014,13.4014,0.223479,314.479,314.479,42.9888,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.225317,0.225317
1600735275.0,318.355,318.355,6.48823,26.3171,26.3171,1.0,19.6921,19.6921,3.94411,13.3577,13.3577,0.222909,316.389,316.389,46.1508,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.214559,0.214559
1600735375.0,316.539,316.539,6.36195,25.9972,25.9972,1.0,20.8979,20.8979,4.10528,13.6811,13.6811,0.232979,313.022,313.022,48.107,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.225253,0.225253
1600735475.0,318.545,318.545,5.95175,26.8924,26.8924,1.0,22.5014,22.5014,2.9831,14.6266,14.6266,0.251046,317.105,317.105,35.4838,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.224821,0.224821
1600735575.0,320.471,320.471,6.01547,24.8865,24.8865,1.0,20.4856,20.4856,2.54497,12.192,12.192,0.184797,314.195,314.195,41.9799,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.222442,0.222442
1600735675.0,316.121,316.121,7.29891,27.4547,27.4547,1.0,21.1274,21.1274,3.52826,13.0641,13.0641,0.274543,315.159,315.159,38.3308,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.227232,0.227232
1600735775.0,314.531,314.531,6.76127,26.8808,26.8808,1.0,20.1101,20.1101,3.18306,12.2455,12.2455,0.196314,312.346,312.346,39.4548,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.230059,0.230059
1600735875.0,316.103,316.103,6.03494,26.353,26.353,1.0,19.5966,19.5966,2.43749,13.1506,13.1506,0.216764,314.051,314.051,47.9362,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.218599,0.218599
1600735975.0,318.227,318.227,6.14376,25.0599,25.0599,1.0,20.1599,20.1599,3.44988,14.0178,14.0178,0.259666,314.63,314.63,53.4802,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.198008,0.198008
1600736075.0,317.562,317.562,6.197,25.1267,25.1267,1.0,20.3459,20.3459,4.49629,14.3154,14.3154,0.268806,314.214,314.214,39.8265,99999.9,99999.9,99999.9,99999.9,99999.9,99999.9,0.179214,0.179214
